"BEFORE: ",token,CAND-NT1
i,ms
1,342.53
2,0.64
3,416.83
4,1.23
5,452.64
6,2.21
7,589.87
8,0.84
9,374.81
10,1.09
11,333.58
12,1.77
13,361.79
14,1.79
15,356.9
16,0.84
17,348.14
18,0.91
19,361.16
20,1.93
21,342.69
22,0.71
23,335.5
24,1.81
25,361.82
26,0.57
27,346.59
28,1.14
29,358.99
30,0.64
31,0.86
32,0.76
33,331.76
34,1.91
35,380
36,1.35
37,371.94
38,1.86
39,343.99
40,0.62
41,401.24
42,1.91
43,363.76
44,0.98
45,364.33
46,0.66
47,352
48,0.64
49,375.85
50,0.58
"AFTER: ",token,CAND-NT1
i,ms
1,55.43
2,2.18
3,56.47
4,0.56
5,53.02
6,2.2
7,56.46
8,0.8
9,55.96
10,2.53
11,56.64
12,0.71
13,52.24
14,0.66
15,53.13
16,1.86
17,52.65
18,0.52
19,53.69
20,1.16
21,55.05
22,1.44
23,52.78
24,1.08
25,53.04
26,2.2
27,55.13
28,2.11
29,53.41
30,1.26
31,1.56
32,1.87
33,55.36
34,2.65
35,56.43
36,1.6
37,54.54
38,1.08
39,53.27
40,1.51
41,52.38
42,0.68
43,53.21
44,1.95
45,56.39
46,2.4
47,55.85
48,1.21
49,53.44
50,2.26
